#,Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,27,25,8,6.571428571428571,18,1,"[6, 8, 23, 28, 32, 33, 51, 52]","[2, 15, 5, 4, 1, 18, 1]"
2,26,26,8,6.571428571428571,19,1,"[0, 2, 18, 19, 23, 25, 44, 46]","[2, 16, 1, 4, 2, 19, 2]"
3,26,26,8,7.0,10,2,"[1, 9, 18, 21, 31, 33, 41, 50]","[8, 9, 3, 10, 2, 8, 9]"
4,27,26,7,6.333333333333333,13,1,"[20, 21, 25, 38, 42, 53, 58]","[1, 4, 13, 4, 11, 5]"
5,25,34,1,0,0,0,[22],[]
6,31,25,4,18.666666666666668,42,1,"[1, 2, 15, 57]","[1, 13, 42]"
7,30,23,7,5.0,13,1,"[28, 41, 47, 50, 55, 57, 58]","[13, 6, 3, 5, 2, 1]"
8,28,28,4,19.0,43,4,"[0, 10, 53, 57]","[10, 43, 4]"
9,23,28,9,7.375,20,3,"[0, 7, 10, 23, 26, 46, 50, 54, 59]","[7, 3, 13, 3, 20, 4, 4, 5]"
10,27,30,3,26.0,41,11,"[5, 16, 57]","[11, 41]"
11,28,25,7,9.0,16,2,"[5, 21, 33, 46, 48, 52, 59]","[16, 12, 13, 2, 4, 7]"
12,26,24,10,6.222222222222222,19,1,"[2, 11, 17, 18, 37, 50, 51, 55, 57, 58]","[9, 6, 1, 19, 13, 1, 4, 2, 1]"
13,25,28,7,6.333333333333333,18,1,"[9, 14, 15, 25, 27, 29, 47]","[5, 1, 10, 2, 2, 18]"
14,28,25,7,6.166666666666667,11,1,"[12, 23, 25, 31, 39, 48, 49]","[11, 2, 6, 8, 9, 1]"
15,24,31,5,6.25,11,3,"[32, 35, 41, 46, 57]","[3, 6, 5, 11]"
16,21,33,6,9.0,20,3,"[0, 6, 16, 22, 42, 45]","[6, 10, 6, 20, 3]"
17,29,26,5,11.0,25,1,"[9, 34, 35, 45, 53]","[25, 1, 10, 8]"
18,25,33,2,28.0,28,28,"[0, 28]",[28]
19,27,28,5,12.25,20,4,"[10, 30, 43, 47, 59]","[20, 13, 4, 12]"
20,33,22,5,8.25,16,3,"[22, 31, 36, 52, 55]","[9, 5, 16, 3]"
21,17,39,4,16.0,25,3,"[9, 29, 32, 57]","[20, 3, 25]"
22,31,25,4,14.0,16,10,"[15, 31, 41, 57]","[16, 10, 16]"
23,20,38,2,21.0,21,21,"[25, 46]",[21]
24,30,23,7,9.166666666666666,34,1,"[0, 11, 12, 46, 48, 51, 55]","[11, 1, 34, 2, 3, 4]"
25,29,27,4,16.666666666666668,30,6,"[7, 21, 27, 57]","[14, 6, 30]"
26,21,36,3,25.5,33,18,"[7, 25, 58]","[18, 33]"
27,21,31,8,5.0,12,1,"[1, 12, 15, 27, 28, 31, 32, 36]","[11, 3, 12, 1, 3, 1, 4]"
28,21,34,5,13.25,25,2,"[1, 19, 27, 29, 54]","[18, 8, 2, 25]"
29,23,31,6,8.0,16,1,"[11, 13, 19, 35, 50, 51]","[2, 6, 16, 15, 1]"
30,26,25,9,7.25,21,1,"[1, 3, 11, 13, 14, 17, 20, 41, 59]","[2, 8, 2, 1, 3, 3, 21, 18]"
31,27,23,10,5.111111111111111,18,1,"[1, 7, 9, 27, 33, 36, 43, 44, 45, 47]","[6, 2, 18, 6, 3, 7, 1, 1, 2]"
32,23,30,7,7.166666666666667,24,1,"[7, 13, 21, 22, 23, 26, 50]","[6, 8, 1, 1, 3, 24]"
33,22,28,10,5.888888888888889,14,2,"[3, 5, 10, 20, 22, 24, 38, 42, 53, 56]","[2, 5, 10, 2, 2, 14, 4, 11, 3]"
34,28,26,6,11.4,27,1,"[0, 21, 27, 29, 56, 57]","[21, 6, 2, 27, 1]"
35,34,16,10,4.0,6,1,"[22, 27, 32, 35, 41, 42, 47, 50, 52, 58]","[5, 5, 3, 6, 1, 5, 3, 2, 6]"
36,28,29,3,8.0,14,2,"[5, 19, 21]","[14, 2]"
37,26,25,9,6.125,10,3,"[2, 9, 14, 22, 25, 29, 39, 48, 51]","[7, 5, 8, 3, 4, 10, 9, 3]"
