Player Wins,Banker Wins,Ties,Avg Diff,Max Diff,Min Diff,Tie Index,Differences
1,27,27,6,7.6,18,1,"[17, 18, 26, 35, 53, 55]","[1, 8, 9, 18, 2]"
2,27,28,5,11.25,17,2,"[8, 18, 35, 37, 53]","[10, 17, 2, 16]"
3,25,29,6,6.8,15,1,"[12, 17, 32, 39, 40, 46]","[5, 15, 7, 1, 6]"
4,23,29,8,6.285714285714286,19,1,"[6, 8, 13, 14, 24, 43, 49, 50]","[2, 5, 1, 10, 19, 6, 1]"
5,30,27,3,16.5,29,4,"[5, 34, 38]","[29, 4]"
6,30,24,6,11.0,16,3,"[2, 18, 31, 39, 54, 57]","[16, 13, 8, 15, 3]"
7,23,30,7,7.166666666666667,13,1,"[12, 19, 20, 24, 30, 43, 55]","[7, 1, 4, 6, 13, 12]"
8,19,37,4,16.666666666666668,39,1,"[7, 8, 18, 57]","[1, 10, 39]"
9,28,29,3,21.5,31,12,"[16, 47, 59]","[31, 12]"
10,22,33,5,8.75,13,4,"[11, 24, 28, 40, 46]","[13, 4, 12, 6]"
11,26,27,7,9.333333333333334,21,4,"[3, 24, 31, 37, 45, 49, 59]","[21, 7, 6, 8, 4, 10]"
12,30,23,7,7.333333333333333,24,1,"[12, 36, 39, 44, 51, 52, 56]","[24, 3, 5, 7, 1, 4]"
13,29,25,6,5.0,7,2,"[7, 13, 20, 27, 29, 32]","[6, 7, 7, 2, 3]"
14,22,32,6,4.4,8,1,"[27, 30, 38, 39, 44, 49]","[3, 8, 1, 5, 5]"
15,20,34,6,6.8,14,1,"[21, 35, 36, 40, 47, 55]","[14, 1, 4, 7, 8]"
16,25,30,5,12.5,30,1,"[0, 1, 5, 20, 50]","[1, 4, 15, 30]"
17,24,30,6,6.4,8,5,"[26, 34, 41, 48, 53, 58]","[8, 7, 7, 5, 5]"
18,22,32,6,10.2,27,5,"[1, 6, 11, 20, 25, 52]","[5, 5, 9, 5, 27]"
19,26,28,6,2.2,6,1,"[31, 32, 33, 35, 41, 42]","[1, 1, 2, 6, 1]"
20,23,28,9,6.375,11,2,"[5, 13, 16, 19, 26, 37, 44, 54, 56]","[8, 3, 3, 7, 11, 7, 10, 2]"
21,24,29,7,7.833333333333333,18,1,"[1, 8, 10, 28, 37, 38, 48]","[7, 2, 18, 9, 1, 10]"
22,27,28,5,4.0,7,1,"[34, 35, 41, 48, 50]","[1, 6, 7, 2]"
23,22,35,3,6.0,7,5,"[33, 38, 45]","[5, 7]"
24,28,30,2,6.0,6,6,"[19, 25]",[6]
