gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap.1,gap.2,gap.3,gap.4,gap.5,gap.6,gap.7
4.0,7.0,12.0,7.0,2.0,2.0,2.0,13.0,4.0,4.0,6.0,2.0,1.0,5,4.0,14.0,4.0,7.0,12.0,7.0,2.0,2.0,2.0,13.0
2.0,13.0,11.0,12.0,4.0,3.0,1.0,12.0,1.0,3.0,1.0,18.0,7.0,6,2.0,10.0,2.0,13.0,11.0,12.0,4.0,3.0,1.0,12.0
13.0,9.0,2.0,5.0,23.0,4.0,16.0,1.0,14.0,30.0,8.0,22.0,25.0,8,2.0,7.0,13.0,9.0,2.0,5.0,23.0,4.0,16.0,1.0
11.0,1.0,5.0,4.0,4.0,5.0,8.0,3.0,5.0,6.0,22.0,4.0,11.0,20,9.0,12.0,11.0,1.0,5.0,4.0,4.0,5.0,8.0,3.0
11.0,9.0,1.0,8.0,13.0,5.0,15.0,3.0,12.0,3.0,12.0,11.0,17.0,11,25.0,5.0,11.0,9.0,1.0,8.0,13.0,5.0,15.0,3.0
20.0,10.0,20.0,9.0,15.0,42.0,14.0,11.0,14.0,14.0,12.0,2.0,5.0,11,1.0,7.0,20.0,10.0,20.0,9.0,15.0,42.0,14.0,11.0
2.0,3.0,4.0,4.0,7.0,9.0,5.0,13.0,9.0,1.0,14.0,1.0,3.0,4,3.0,6.0,2.0,3.0,4.0,4.0,7.0,9.0,5.0,13.0
2.0,9.0,6.0,6.0,4.0,3.0,30.0,5.0,2.0,2.0,2.0,1.0,2.0,9,15.0,6.0,2.0,9.0,6.0,6.0,4.0,3.0,30.0,5.0
7.0,14.0,9.0,2.0,15.0,16.0,24.0,8.0,17.0,15.0,3.0,14.0,34.0,3,2.0,3.0,7.0,14.0,9.0,2.0,15.0,16.0,24.0,8.0
28.0,6.0,2.0,2.0,2.0,13.0,7.0,4.0,7.0,17.0,26.0,2.0,13.0,1,2.0,18.0,28.0,6.0,2.0,2.0,2.0,13.0,7.0,4.0
22.0,4.0,9.0,2.0,2.0,20.0,6.0,6.0,1.0,2.0,7.0,4.0,4.0,14,3.0,3.0,22.0,4.0,9.0,2.0,2.0,20.0,6.0,6.0
47.0,10.0,5.0,7.0,3.0,7.0,6.0,7.0,3.0,1.0,9.0,2.0,24.0,16,4.0,1.0,47.0,10.0,5.0,7.0,3.0,7.0,6.0,7.0
2.0,3.0,23.0,12.0,1.0,12.0,6.0,4.0,16.0,13.0,13.0,13.0,3.0,6,1.0,6.0,2.0,3.0,23.0,12.0,1.0,12.0,6.0,4.0
5.0,5.0,1.0,1.0,1.0,13.0,4.0,16.0,5.0,7.0,5.0,14.0,8.0,1,14.0,10.0,5.0,5.0,1.0,1.0,1.0,13.0,4.0,16.0
5.0,19.0,1.0,1.0,6.0,11.0,12.0,5.0,12.0,4.0,28.0,12.0,14.0,2,17.0,8.0,5.0,19.0,1.0,1.0,6.0,11.0,12.0,5.0
2.0,6.0,1.0,16.0,14.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,8.0,5,3.0,6.0,2.0,6.0,1.0,16.0,14.0,5.0,1.0,1.0
16.0,7.0,6.0,8.0,6.0,7.0,26.0,7.0,7.0,4.0,4.0,1.0,4.0,2,15.0,13.0,16.0,7.0,6.0,8.0,6.0,7.0,26.0,7.0
14.0,17.0,4.0,16.0,3.0,6.0,2.0,3.0,26.0,22.0,2.0,2.0,5.0,13,2.0,31.0,14.0,17.0,4.0,16.0,3.0,6.0,2.0,3.0
8.0,14.0,5.0,9.0,26.0,1.0,4.0,23.0,3.0,9.0,5.0,8.0,8.0,7,11.0,1.0,8.0,14.0,5.0,9.0,26.0,1.0,4.0,23.0
